Model,Name,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW,ScaleX,ScaleY,ScaleZ
0,Ghost-LeftHand(Clone),-0.07,-0.033,0,0.8289491,0.4524203,0.3288758,0,1,1,1
0,OculusHand_L,0,0,0,0,0,0,1,1,1,1
0,b_l_wrist,0,0,0,-9.486373E-09,1,7.589099E-08,0,1,1,1
0,b_l_index1,-0.09599624,0.007316454,-0.02355068,0.009935603,0.7571576,0.6531567,0,1,1,1
0,b_l_index2,-0.0379273,-2.220446E-18,-8.881784E-18,0.7631626,0.001650277,0.6462045,0,1,1,1
0,b_l_index3,-0.02430364,3.053113E-18,4.440892E-18,0.7258589,0.005890462,0.6878183,0,1,1,1
0,b_l_middle1,-0.0956466,0.002543155,-0.001725905,0.7312095,0.007184864,0.6821151,0,1,1,1
0,b_l_middle2,-0.04292699,0,0,0.7316563,0.001042952,0.6816729,0,1,1,1
0,b_l_middle3,-0.02754958,0,-4.440892E-18,0.7077301,0.0001929766,0.7064828,0,1,1,1
0,b_l_pinky0,-0.03407356,0.009419835,0.02299857,0.6885617,0.03620908,0.7242731,0,1,1,1
0,b_l_pinky1,-0.04565054,9.982332E-07,-2.194025E-06,0.03082017,0.9991188,0.02849139,0,1,1,1
0,b_l_pinky2,-0.03072041,-3.330669E-18,-8.881784E-18,0.7284751,0.01058823,0.6849905,0,1,1,1
0,b_l_pinky3,-0.02031138,6.661338E-18,-8.881784E-18,0.5840856,0.5753807,0.5725218,0,1,1,1
0,b_l_ring1,-0.08869379,0.006529307,0.01746524,0.7094725,0.01633732,0.7045437,0,1,1,1
0,b_l_ring2,-0.0389961,7.771561E-18,-8.881784E-18,0.7326651,0.001052301,0.6805885,0,1,1,1
0,b_l_ring3,-0.0265734,-4.440892E-18,0,0.585041,0.5824097,0.5643811,0,1,1,1
0,b_l_thumb0,-0.0200693,0.0115541,-0.01049652,0.08777776,0.6719239,0.7354002,0,1,1,1
0,b_l_thumb1,-0.02485256,-8.881784E-18,1.054712E-17,0.06591949,0.7116893,0.6993948,0,1,1,1
0,b_l_thumb2,-0.03251291,1.776357E-17,-2.609024E-17,0.7402925,0.01516209,0.6721139,0,1,1,1
0,b_l_thumb3,-0.03379309,-1.332268E-17,3.441691E-17,0.02998888,0.9988064,0.0385559,0,1,1,1
